Recipient,Supplier,Year of order, ,Number ordered, ,Weapon designation,Weapon description,Number delivered, ,Year(s) of delivery,status,Comments,SIPRI TIV per unit,SIPRI TIV for total order,SIPRI TIV of delivered weapons
Ukraine,United States,2022,,4,,MPQ-64 Sentinel,air search radar,4,,2022,Second hand,Second-hand; aid after 2022 Russian invasion of Ukraine,2,8,8
Ukraine,United Kingdom,2022,?,14,,Challenger-2,tank,14,,2023,Second hand,Second-hand; aid after 2022 Russian invasion of Ukraine,1.7,23.8,23.8
Ukraine,Croatia,2022,,11,,Mi-17,transport helicopter,11,,2023,Second hand,Second-hand; aid after 2022 Russian invasion of Ukraine; Mi-8MTV-1 version,2.9,31.9,31.9
Ukraine,Germany,2023,,42,,BPz-2,ARV,16,,2023,Second hand but modernized,Second-hand but modernixed to Wisent-1 MCT AEV version; aid after 2022 Russian invasion of Ukraine,0.92,38.81,14.78
Ukraine,Germany,2023,?,10,?,Eagle,APV,10,?,2023,Second hand,Eagle-1 version; second-hand; supplier uncertain; probably from Germany,0.06,0.56,0.56
Ukraine,Norway,2023,,5,?,Dingo-2,APC,5,?,2023,Second hand but modernized,Second-hand but modernized to Dingo CORTEX Typhon version,0.23,1.16,1.16
Ukraine,Norway,2022,,23,,M-109A1 155mm,self-propelled gun,23,,2022,Second hand,Second-hand; aid after 2022 Russian invasion of Ukraine; M-109A3GN version,0.44,10.12,10.12
Ukraine,Norway,2023,,2,,NASAMS-2,SAM system,2,,2023,Second hand,Second-hand; aid after 2022 Russian invasion of Ukraine,6,12,12
Ukraine,Spain,2022,,8,,Model-56 105mm,towed gun,8,,2023,Second hand,Second-hand; aid after 2022 Russian invasion of Ukraine,0.18,1.44,1.44
Ukraine,Denmark,2022,,20,?,Harpoon Block-2,anti-ship missile/SSM,20,?,2022,Second hand,Second-hand; aid after 2022 Russian invasion of Ukraine,0.4,8,8
Ukraine,Denmark,2022,,1,?,HCDS,coastal defence system,1,?,2022,Second hand,Second-hand; aid after 2022 Russian invasion of Ukraine,4,4,4
Ukraine,Spain,2022,,60,,M-113,APC,60,,2023,Second hand,Second-hand; aid after 2022 Russian invasion of Ukraine,0.1,6,6
Ukraine,Czechia,2022,,645,,Konkurs,anti-tank missile,645,?,2022; 2023,Second hand,Second-hand; aid after 2022 Russian invasion of Ukraine; designation uncertain (reported as 'anti-tank missiles'),0.01,5.16,5.16
Ukraine,United States,2022,,142,,UFH/M-777 155mm,towed gun,142,,2022,Second hand,Second-hand; aid after 2022 Russian invasion of Ukraine; M-777A2 version,0.4,56.8,56.8
Ukraine,United Kingdom,2022,,6,,Stormer HVM,mobile SAM system,6,,2022,Second hand,Second-hand; aid after 2022 Russian invasion of Ukraine,0.8,4.8,4.8
Ukraine,Czechia,2022,,12,,BM-21 Grad 122mm,self-propelled MRL,12,,2022,Second hand,Second-hand; aid after 2022 Russian invasion of Ukraine; BVP-1 version,0.24,2.88,2.88
Ukraine,Germany,2022,,294,?,GMLRS,guided rocket,294,?,2022,Second hand,Second-hand; aid after 2022 Russian invasion of Ukraine; for MLRS MRL,0.03,9.41,9.41
Ukraine,Czechia,2022,,20,?,T-72M1,tank,20,?,2022,Second hand but modernized,Second-hand but modernized before delivery; aid after 2022 Russian invasions of Ukraine,1.72,34.32,34.32
Ukraine,United States,2022,,300,?,WGU-59 APKWS,ASM,300,?,2023,New,Aid after 2022 Russian invasion of Ukraine,0.01,3,3
Ukraine,United Kingdom,2022,,20,?,MXT-MV,APV,20,?,2022,Second hand,Second-hand; aid after 2022 Russian invasion of Ukraine; Husky version,0.06,1.28,1.28
Ukraine,Netherlands,2022,,226,?,AIFV-APC,APC,226,?,2022; 2023,Second hand,Second-hand; aid after 2022 Russian invasion of Ukraine; YPR-765 version,0.12,27.12,27.12
Ukraine,Slovakia,2022,,100,?,Igla,portable SAM,100,?,2022,Second hand,Second-hand; aid after 2022 Russian invasion of Ukraine; designation uncertain (reported as 'air-defence missiles'),0.03,3.2,3.2
Ukraine,Spain,2022,,25,?,Aspide,BVRAAM/SAM,25,?,2022,Second hand,Second-hand; aid after 2022 Russian invasion of Ukraine; for Spada SAM system,0.07,1.8,1.8
Ukraine,France,2022,,50,?,Mistral,portable SAM,50,?,2022,Second hand,Second-hand; aid after 2022 Russian invasion of Ukraine,0.04,1.8,1.8
Ukraine,Portugal,2022,,47,?,M-113,APC,47,?,2022; 2023,Second hand,Second-hand; aid after 2022 Russian invasion of Ukraine,0.1,4.7,4.7
Ukraine,Germany,2022,,1,?,COBRA,artillery locating radar,1,?,2022,Second hand,Second-hand; aid after 2022 Russian invasion of Ukraine,4,4,4
Ukraine,United Kingdom,2022,?,100,?,FV-432,APC,100,?,2023,Second hand,Second-hand; aid after 2022 Russian invasion of Ukraine,0.12,12,12
Ukraine,United States,2022,,100,,BATT,APC,100,?,2022; 2023,New,$23 m deal,0.16,16,16
Ukraine,France,2022,,1,,SAMP/T,ABM/SAM system,1,,2023,Second hand,Probably second-hand; aid after 2022 Russian invasion of Ukraine (in cooperation with Italy; incl delivery of launchers from Italy),22,22,22
Ukraine,Spain,2022,,1,,RG-31 Nyala,APC,1,,2022,Second hand,Second-hand; aid after 2022 Russian invasion of Ukraine; ambulance version,0.07,0.07,0.07
Ukraine,Poland,2022,,270,?,T-72M1,tank,270,?,2022; 2023,Second hand,Second-hand; aid after 2022 Russian invasion of Ukraine; incl T-72M1R version,1.04,280.8,280.8
Ukraine,Portugal,2022,,4,,VM-90P,APC,4,,2022,Second hand,Second-hand; aid after 2022 Russian invasion of Ukraine; M-40.12WM/P version,0.04,0.18,0.18
Ukraine,Canada,2023,,288,,AIM-7M Sparrow,BVRAAM,288,?,2023,Second hand,Second-hand; aid after 2022 Russian invasion of Ukraine; for SAM systems,0.07,20.74,20.74
Ukraine,United States,2023,?,1,?,S-70 Black Hawk,transport helicopter,1,?,2023,Second hand,Second-hand; UH-60A version,2.6,2.6,2.6
Ukraine,United States,2022,?,31,,M-1A1 Abrams,tank,31,,2023,Second hand,Second-hand; aid after 2002 Russian invasion of Ukraine,1.6,49.6,49.6
Ukraine,Netherlands,2022,,2,,SQUIRE,ground surv radar,2,,2022,Second hand,Second-hand; aid after 2022 Russian invasion of Ukraine,0.2,0.4,0.4
Ukraine,United States,2018,,210,?,FGM-148 Javelin,anti-tank missile,210,?,2018,New,Probably second-hand,0.03,6.3,6.3
Ukraine,Sweden,2022,,50,?,AGM-114 Hellfire,anti-tank missile,50,?,2022,Second hand,Second-hand; aid after 2022 Russian invasion of Ukraine; Rb-17 (AGM-114C) version for coastal defence,0.02,0.8,0.8
Ukraine,Latvia,2022,,12,?,Stinger,portable SAM,12,?,2022,Second hand,Second-hand; aid,0.03,0.38,0.38
Ukraine,Germany,2022,?,18,,Leopard-2A6,tank,18,,2023,Second hand,Second-hand; aid after 2022 Russian invasion of Ukraine,2,36,36
Ukraine,United States,2023,,38,,UFH/M-777 155mm,towed gun,38,?,2023,Second hand,Second-hand; aid after 2022 Russian invasion of Ukraine; designation uncertain (reported as '155mm Howitzers'),0.4,15.2,15.2
Ukraine,Netherlands,2022,,5,,TPQ-36 Firefinder,artillery locating radar,5,,2022,Second hand,Second-hand; aid after 2022 Russian invasion of Ukraine,1.2,6,6
Ukraine,United Kingdom,2022,,33,?,FV-432,APC,33,?,2023,Second hand,Second-hand; financed with private donations,0.12,3.96,3.96
Ukraine,France,2022,,30,?,AMX-10RC,armoured car,30,,2023,Second hand,Second-hand; aid after 2022 Russian invasion of Ukraine; AMX-10RCR version,0.48,14.4,14.4
Ukraine,Poland,2023,,14,?,MiG-29S,FGA aircraft,14,?,2023,Second hand,Second-hand; aid after 2022 Russian invasion of Ukraine,11.4,159.6,159.6
Ukraine,Poland,2022,?,14,?,Leopard-2A4,tank,14,,2023,Second hand,Second-hand; aid 2022 Russian invasion of Ukraine,1.6,22.4,22.4
Ukraine,Netherlands,2022,?,8,,PzH-2000 155mm,self-propelled gun,8,,2022,Second hand,Second-hand; aid after 2022 Russian invasion of Ukraine,1.8,14.4,14.4
Ukraine,France,2023,,1,?,Ground Master-200,air search radar,1,?,2023,New,,10,10,10
Ukraine,United Kingdom,2022,,200,?,FGM-148 Javelin,anti-tank missile,200,?,2022,Second hand,Second-hand; aid after 2022 Russian invasion of Ukraine,0.01,2.4,2.4
Ukraine,Netherlands,2022,,10,?,MO-120-RT 120mm,mortar,10,?,2022,Second hand,Second-hand; aid after 2022 Russian invasion of Ukraine,0.12,1.2,1.2
Ukraine,Australia,2022,,6,,UFH/M-777 155mm,towed gun,6,,2022,Second hand,Second-hand; aid after 2022 Russian invasion of Ukraine,0.4,2.4,2.4
Ukraine,Canada,2022,,50,?,M-982 Excalibur,guided shell,50,?,2022,Second hand,Second-hand; aid after 2022 Russian invasion of Ukraine,0.02,0.8,0.8
Ukraine,United States,2022,,18,,M-109A6 155mm Paladin,self-propelled gun,18,,2023,Second hand,Second-hand; aid after 2022 Russian invasion of Ukraine,0.54,9.72,9.72
Ukraine,France,2022,,704,?,MILAN,anti-tank missile,704,?,2022,Second hand,Second-hand; aid after 2022 Russian invasion of Ukraine,0,2.82,2.82
Ukraine,United States,2022,,19,?,TPQ-36 Firefinder,artillery locating radar,19,?,2022,Second hand,Second-hand; aid after 2022 Russian invasion of Ukraine,1.2,22.8,22.8
Ukraine,Slovakia,2022,,45,?,5V55U,SAM,45,?,2022,Second hand,Second-hand; aid after 2022 Russian invasion of Ukraine; for S-300 SAM system,0.4,18,18
Ukraine,United States,2022,,2150,?,Stinger,portable SAM,2050,?,2022; 2023,Second hand,Second-hand; aid after 2022 Russian invasion of Ukraine; incl for Avenger SAM systems,0.03,68.8,65.6
Ukraine,Belgium,2022,,136,,M-113,APC,136,?,2022; 2023,Second hand,Second-hand; aid after 2022 Russian invasion of Ukraine; financed by UK aid,0.1,13.6,13.6
Ukraine,United States,2022,?,20,,Mi-17,transport helicopter,20,?,2022; 2023,Second hand,Second-hand; aid after 2022 Russian invasion of Ukraine; incl Mi-17V-5 and Mi-8MTV versions,2.9,58,58
Ukraine,United States,2019,,150,?,FGM-148 Javelin,anti-tank missile,150,?,2020,New,,0.03,4.5,4.5
Ukraine,United Kingdom,2022,,6900,?,NLAW,anti-tank missile,6900,?,2022,Second hand,Second-hand; aid after 2022 Russian invasion of Ukraine,0,27.6,27.6
Ukraine,Slovakia,2022,,1,,S-300PMU,SAM system,1,,2022,Second hand,Second-hand; aid after 2022 Russian invasion of Ukraine,18,18,18
Ukraine,Turkiye,2020,?,,?,Bayraktar TB2,armed UAV,60,?,2022,New,Bayraktar TB2 version; incl production under licence in Ukraine,2.4,0,144
Ukraine,United States,2021,,300,?,FGM-148 Javelin,anti-tank missile,300,?,2022,New,Part of $200 m aid; delivery planned 2022,0.03,9,9
Ukraine,United States,2022,,186,?,M-2A3 Bradley,IFV,186,?,2023,Second hand,Second-hand; aid after 2022 Russian invasion of Ukraine; ODS-SA version,0.72,133.92,133.92
Ukraine,Netherlands,2023,,8,?,Fennek,reconnaissance AV,8,?,2023,Second hand,Second-hand; aid after 2022 Russian invasion of Ukraine,0.12,0.96,0.96
Ukraine,United Kingdom,2022,?,32,,AS-90B Mallet 155mm,self-propelled gun,32,,2023,Second hand,Second-hand; aid after 2022 Russian invasion of Ukraine,0.8,25.6,25.6
Ukraine,Turkiye,2018,,12,?,Bayraktar TB2,armed UAV,12,?,2019; 2021,New,$69 m deal; Bayraktar TB2 version,2.4,28.8,28.8
Ukraine,France,2022,?,19,,CAESAR 155mm,self-propelled gun,19,,2023,New,CAESAR-2 version; originally ordered by Denmark but supplied to Ukraine after 2022 Russian invasion of Ukraine; financed by aid from Denmark,1.07,20.33,20.33
Ukraine,United States,2021,,180,,FGM-148 Javelin,anti-tank missile,180,,2021,New,Aid; delivery also incl 30 launchers,0.03,5.4,5.4
Ukraine,Estonia,2021,,9,?,D-30 122mm,towed gun,9,?,2022,Second hand,Second-hand; aid,0.14,1.26,1.26
Ukraine,Poland,2022,,20,?,PT-91M,tank,20,?,2022,Second hand,Second-hand; aid after 2022 Russian invasion of Ukraine,1.28,25.6,25.6
Ukraine,Poland,2023,,30,?,PT-91M,tank,30,?,2023,Second hand,Second-hand; aid after 2022 Russian invasion of Ukraine,1.28,38.4,38.4
Ukraine,Luxembourg,2022,,100,,NLAW,anti-tank missile,100,,2022,Second hand,Second-hand; aid after 2022 Russian invasion of Ukraine,0,0.4,0.4
Ukraine,Germany,2022,,500,,Stinger,portable SAM,500,,2022,Second hand,Second-hand; aid after 2022 Russian invasion of Ukraine,0.03,16,16
Ukraine,Czechia,2023,,120,?,3M9,SAM,120,?,2023,Second hand,Second-hand; aid after 2022 Russian invasion of Ukraine; for Kvadrat SAM system,0.05,5.76,5.76
Ukraine,Norway,2022,?,8,?,Leopard-2A4,tank,8,,2023,Second hand,Second-hand; aid after 2022 Russian invasion of Ukraine,1.6,12.8,12.8
